ImageId,WKT_Pix
990020_mask,"LINESTRING (606.0 872.5, 598.0 882.0, 588.0 1019.0)"
990020_mask,"LINESTRING (606.0 872.5, 612.0 880.0, 612.0 899.0, 599.0 1019.0)"
670062_mask,"LINESTRING (807.0 0.0, 766.0 50.0)"
670062_mask,"LINESTRING (325.0 17.0, 303.0 280.0, 292.0 287.0, 111.0 316.0, 1.0 350.0)"
670062_mask,"LINESTRING (0.0 427.0, 18.0 487.0)"
670062_mask,"LINESTRING (332.0 479.0, 310.0 492.0, 290.0 494.0, 237.0 468.0, 219.0 470.0, 147.8 596.0)"
670062_mask,"LINESTRING (18.0 487.0, 3.0 490.0)"
670062_mask,"LINESTRING (18.0 487.0, 50.0 557.0, 58.0 562.2)"
670062_mask,"LINESTRING (58.0 562.2, 77.0 560.0, 147.8 596.0)"
670062_mask,"LINESTRING (58.0 562.2, 79.0 649.0, 90.0 817.0, 65.0 912.0, 37.0 982.0, 37.0 996.8)"
670062_mask,"LINESTRING (147.8 596.0, 238.0 658.0, 367.0 734.0, 465.0 745.0, 523.0 773.0, 538.0 794.0, 551.0 831.0, 589.0 851.0, 703.0 867.0, 827.0 874.0, 922.0 909.0, 942.0 911.0)"
670062_mask,"LINESTRING (37.0 996.8, 29.0 1019.0)"
670062_mask,"LINESTRING (37.0 996.8, 149.0 1023.0)"
737584_mask,"LINESTRING (7.0 0.0, 0.0 14.0)"
737584_mask,"LINESTRING (101.0 0.0, 91.0 6.0, 1.0 153.0, 5.0 164.0, 98.3 177.3)"
737584_mask,"LINESTRING (185.0 0.0, 180.0 5.0, 157.0 170.0, 150.0 180.0, 98.3 177.3)"
737584_mask,"LINESTRING (641.0 0.0, 392.3 9.3)"
737584_mask,"LINESTRING (1022.0 0.0, 944.0 5.0, 944.0 89.0)"
737584_mask,"LINESTRING (386.0 2.0, 392.3 9.3)"
737584_mask,"LINESTRING (392.3 9.3, 411.3 166.3)"
737584_mask,"LINESTRING (833.7 146.3, 763.0 149.2)"
737584_mask,"LINESTRING (833.7 146.3, 904.0 145.0, 906.0 216.0, 925.0 319.8)"
737584_mask,"LINESTRING (833.7 146.3, 837.0 251.0)"
737584_mask,"LINESTRING (763.0 149.2, 411.3 166.3)"
737584_mask,"LINESTRING (763.0 149.2, 768.0 325.8)"
737584_mask,"LINESTRING (411.3 166.3, 478.0 708.0, 494.7 783.3)"
737584_mask,"LINESTRING (98.3 177.3, 87.0 261.0, 40.0 262.0)"
737584_mask,"LINESTRING (3.0 254.0, 40.0 262.0)"
737584_mask,"LINESTRING (40.0 262.0, 10.8 476.0)"
737584_mask,"LINESTRING (142.0 272.0, 107.7 491.3)"
737584_mask,"LINESTRING (925.0 319.8, 831.0 324.2)"
737584_mask,"LINESTRING (925.0 319.8, 937.0 438.0)"
737584_mask,"LINESTRING (831.0 324.2, 768.0 325.8)"
737584_mask,"LINESTRING (831.0 324.2, 841.0 442.0)"
737584_mask,"LINESTRING (768.0 325.8, 662.0 331.2)"
737584_mask,"LINESTRING (662.0 331.2, 618.0 333.0)"
737584_mask,"LINESTRING (662.0 331.2, 671.0 445.0)"
737584_mask,"LINESTRING (1.0 472.0, 10.8 476.0)"
737584_mask,"LINESTRING (10.8 476.0, 107.7 491.3)"
737584_mask,"LINESTRING (107.7 491.3, 96.7 579.3)"
737584_mask,"LINESTRING (0.0 565.0, 6.0 571.0, 96.7 579.3)"
737584_mask,"LINESTRING (96.7 579.3, 74.0 748.0, 2.0 739.0)"
737584_mask,"LINESTRING (1020.0 721.0, 831.0 720.0, 819.0 747.0, 818.0 776.0)"
737584_mask,"LINESTRING (692.0 765.0, 646.0 764.0, 494.7 783.3)"
737584_mask,"LINESTRING (494.7 783.3, 508.0 834.0, 545.0 927.0, 569.0 1016.0, 576.0 1022.0)"
737584_mask,"LINESTRING (2.0 845.0, 83.0 858.0)"
71939_mask,"LINESTRING (414.0 0.0, 401.0 22.0, 367.0 142.0, 343.0 189.0, 306.0 203.0, 162.0 193.0, 121.0 213.0, 91.0 285.0, 50.0 456.0, 0.0 550.0)"
71939_mask,"LINESTRING (667.0 0.0, 681.0 51.0, 680.0 138.0, 640.0 292.0, 622.0 392.0, 597.0 867.0, 573.0 1020.0)"
71939_mask,"LINESTRING (0.0 709.0, 5.0 740.0, 37.0 819.0, 40.0 844.0, 34.0 887.0, 0.0 973.0)"
967447_mask,"LINESTRING (385.0 0.0, 522.0 16.0)"
967447_mask,"LINESTRING (618.0 0.0, 626.3 11.7)"
967447_mask,"LINESTRING (725.0 0.0, 626.3 11.7)"
967447_mask,"LINESTRING (626.3 11.7, 619.7 17.3)"
967447_mask,"LINESTRING (619.7 17.3, 587.0 21.0)"
967447_mask,"LINESTRING (619.7 17.3, 628.0 50.0, 732.0 71.0)"
967447_mask,"LINESTRING (4.0 86.0, 93.8 87.0)"
967447_mask,"LINESTRING (93.8 87.0, 110.0 73.0, 187.0 66.0, 199.0 72.0, 193.0 108.0)"
967447_mask,"LINESTRING (93.8 87.0, 104.0 99.0, 193.0 108.0)"
967447_mask,"LINESTRING (0.0 148.0, 3.0 174.0, 15.0 196.0)"
967447_mask,"LINESTRING (15.0 196.0, 212.7 219.3)"
967447_mask,"LINESTRING (15.0 196.0, 3.0 210.0, 3.0 225.0, 26.0 311.2)"
967447_mask,"LINESTRING (212.7 219.3, 217.0 215.0, 265.0 216.0, 307.0 194.0, 352.0 162.0, 403.0 95.0, 428.0 78.0, 466.0 71.0, 790.0 127.0, 1023.0 319.0)"
967447_mask,"LINESTRING (212.7 219.3, 261.0 374.0, 288.3 485.3)"
967447_mask,"LINESTRING (26.0 311.2, 229.0 331.0, 257.0 435.0)"
967447_mask,"LINESTRING (26.0 311.2, 51.7 408.7)"
967447_mask,"LINESTRING (3.0 402.0, 9.0 407.0, 51.7 408.7)"
967447_mask,"LINESTRING (51.7 408.7, 56.3 412.3)"
967447_mask,"LINESTRING (56.3 412.3, 257.0 435.0)"
967447_mask,"LINESTRING (56.3 412.3, 74.0 512.0)"
967447_mask,"LINESTRING (257.0 435.0, 261.0 438.0)"
967447_mask,"LINESTRING (699.0 461.0, 622.0 465.2)"
967447_mask,"LINESTRING (622.0 465.2, 302.8 485.0)"
967447_mask,"LINESTRING (622.0 465.2, 628.0 553.9)"
967447_mask,"LINESTRING (302.8 485.0, 288.3 485.3)"
967447_mask,"LINESTRING (302.8 485.0, 302.8 491.0)"
967447_mask,"LINESTRING (288.3 485.3, 289.3 491.3)"
967447_mask,"LINESTRING (302.8 491.0, 289.3 491.3)"
967447_mask,"LINESTRING (302.8 491.0, 302.7 496.7)"
967447_mask,"LINESTRING (289.3 491.3, 290.3 497.3)"
967447_mask,"LINESTRING (302.7 496.7, 290.3 497.3)"
967447_mask,"LINESTRING (302.7 496.7, 303.7 502.7)"
967447_mask,"LINESTRING (290.3 497.3, 291.2 503.0)"
967447_mask,"LINESTRING (1.0 500.0, 7.0 506.0, 74.0 512.0)"
967447_mask,"LINESTRING (291.2 503.0, 303.7 502.7)"
967447_mask,"LINESTRING (291.2 503.0, 292.3 508.3)"
967447_mask,"LINESTRING (303.7 502.7, 304.7 506.7)"
967447_mask,"LINESTRING (304.7 506.7, 292.3 508.3)"
967447_mask,"LINESTRING (304.7 506.7, 305.7 512.7)"
967447_mask,"LINESTRING (292.3 508.3, 293.3 514.3)"
967447_mask,"LINESTRING (74.0 512.0, 76.3 514.3)"
967447_mask,"LINESTRING (305.7 512.7, 293.3 514.3)"
967447_mask,"LINESTRING (305.7 512.7, 306.7 518.7)"
967447_mask,"LINESTRING (76.3 514.3, 276.0 532.0, 279.0 550.0, 267.0 619.0, 261.0 626.0, 69.3 602.4)"
967447_mask,"LINESTRING (76.3 514.3, 69.3 602.4)"
967447_mask,"LINESTRING (293.3 514.3, 294.3 520.3)"
967447_mask,"LINESTRING (306.7 518.7, 294.3 520.3)"
967447_mask,"LINESTRING (306.7 518.7, 307.7 524.7)"
967447_mask,"LINESTRING (294.3 520.3, 295.3 526.3)"
967447_mask,"LINESTRING (307.7 524.7, 295.3 526.3)"
967447_mask,"LINESTRING (307.7 524.7, 315.0 575.0, 402.0 591.0, 494.7 590.7)"
967447_mask,"LINESTRING (295.3 526.3, 293.0 573.0, 212.3 933.7)"
967447_mask,"LINESTRING (700.0 549.0, 628.0 553.9)"
967447_mask,"LINESTRING (628.0 553.9, 518.0 574.0, 501.0 580.0, 494.7 590.7)"
967447_mask,"LINESTRING (628.0 553.9, 626.7 620.5)"
967447_mask,"LINESTRING (494.7 590.7, 626.7 620.5)"
967447_mask,"LINESTRING (2.0 592.0, 6.0 597.0, 69.3 602.4)"
967447_mask,"LINESTRING (69.3 602.4, 58.7 693.7)"
967447_mask,"LINESTRING (626.7 620.5, 613.8 670.0)"
967447_mask,"LINESTRING (626.7 620.5, 648.0 641.2)"
967447_mask,"LINESTRING (648.0 641.2, 708.0 649.0)"
967447_mask,"LINESTRING (648.0 641.2, 678.3 748.3)"
967447_mask,"LINESTRING (613.8 670.0, 426.0 692.0, 380.0 692.0, 287.0 679.0, 268.0 761.0, 355.0 778.0, 455.0 782.0, 620.0 759.0)"
967447_mask,"LINESTRING (613.8 670.0, 620.0 759.0)"
967447_mask,"LINESTRING (4.0 686.0, 58.7 693.7)"
967447_mask,"LINESTRING (58.7 693.7, 47.2 786.8)"
967447_mask,"LINESTRING (58.7 693.7, 241.0 713.0, 224.0 802.0, 180.0 805.2)"
967447_mask,"LINESTRING (678.3 748.3, 898.0 716.0, 1016.0 750.0, 1023.0 758.0)"
967447_mask,"LINESTRING (678.3 748.3, 689.2 834.0)"
967447_mask,"LINESTRING (620.0 759.0, 635.0 846.8)"
967447_mask,"LINESTRING (1022.0 779.0, 1003.0 788.0, 689.2 834.0)"
967447_mask,"LINESTRING (47.2 786.8, 180.0 805.2)"
967447_mask,"LINESTRING (180.0 805.2, 176.0 836.0)"
967447_mask,"LINESTRING (689.2 834.0, 688.8 924.0)"
967447_mask,"LINESTRING (635.0 846.8, 467.0 870.0, 365.0 869.0, 249.0 851.0, 230.7 934.7)"
967447_mask,"LINESTRING (635.0 846.8, 663.0 928.0)"
967447_mask,"LINESTRING (0.0 848.0, 5.0 857.8)"
967447_mask,"LINESTRING (5.0 857.8, 0.0 867.0)"
967447_mask,"LINESTRING (5.0 857.8, 185.0 921.0, 196.0 927.0, 195.5 933.0)"
967447_mask,"LINESTRING (1021.0 870.0, 999.0 879.0, 688.8 924.0)"
967447_mask,"LINESTRING (688.8 924.0, 677.0 929.2)"
967447_mask,"LINESTRING (663.0 928.0, 677.0 929.2)"
967447_mask,"LINESTRING (663.0 928.0, 463.0 960.0, 355.0 967.0)"
967447_mask,"LINESTRING (677.0 929.2, 686.3 999.7)"
967447_mask,"LINESTRING (195.5 933.0, 209.0 940.0)"
967447_mask,"LINESTRING (195.5 933.0, 182.8 1014.0)"
967447_mask,"LINESTRING (212.3 933.7, 209.0 940.0)"
967447_mask,"LINESTRING (212.3 933.7, 230.7 934.7)"
967447_mask,"LINESTRING (230.7 934.7, 341.0 955.0, 355.0 967.0)"
967447_mask,"LINESTRING (209.0 940.0, 201.8 1004.0)"
967447_mask,"LINESTRING (1.0 944.0, 21.0 957.0, 182.8 1014.0)"
967447_mask,"LINESTRING (1020.0 965.0, 1016.0 970.0, 720.0 1017.0, 709.0 1017.0, 703.0 1007.0, 686.3 999.7)"
967447_mask,"LINESTRING (355.0 967.0, 341.0 980.0, 201.8 1004.0)"
967447_mask,"LINESTRING (686.3 999.7, 675.0 1018.0)"
967447_mask,"LINESTRING (201.8 1004.0, 196.0 1019.0)"
967447_mask,"LINESTRING (182.8 1014.0, 182.0 1017.0)"
967447_mask,"LINESTRING (675.0 1018.0, 619.0 1023.0)"
967447_mask,"LINESTRING (675.0 1018.0, 680.0 1022.0)"
934387_mask,"LINESTRING (16.0 0.0, 0.0 93.0)"
934387_mask,"LINESTRING (542.0 0.0, 439.8 551.0)"
934387_mask,"LINESTRING (439.8 551.0, 1021.0 607.0, 1003.0 721.0, 978.0 799.0, 924.0 1022.0)"
934387_mask,"LINESTRING (439.8 551.0, 424.0 621.0)"
934387_mask,"LINESTRING (1.0 552.0, 424.0 621.0)"
934387_mask,"LINESTRING (424.0 621.0, 352.0 1022.0)"
982331_mask,"LINESTRING (274.0 0.0, 317.0 27.0, 562.0 237.0, 565.0 258.0, 536.0 362.0, 538.0 374.0)"
982331_mask,"LINESTRING (328.0 0.0, 400.0 49.0, 568.0 193.0, 590.0 190.0, 605.0 162.0, 609.0 18.0, 627.0 5.0, 684.0 0.0)"
982331_mask,"LINESTRING (966.0 0.0, 950.0 15.0, 926.0 644.0, 922.0 969.2)"
982331_mask,"LINESTRING (897.0 1.0, 912.0 15.2)"
982331_mask,"LINESTRING (1005.0 3.0, 995.0 16.0, 989.3 215.7)"
982331_mask,"LINESTRING (872.0 9.0, 860.7 271.3)"
982331_mask,"LINESTRING (918.0 11.0, 912.0 15.2)"
982331_mask,"LINESTRING (912.0 15.2, 872.0 1005.0, 855.0 1021.0)"
982331_mask,"LINESTRING (989.3 215.7, 964.0 932.0, 959.0 951.0)"
982331_mask,"LINESTRING (989.3 215.7, 1017.0 219.0)"
982331_mask,"LINESTRING (860.7 271.3, 839.0 269.0, 538.0 374.0)"
982331_mask,"LINESTRING (860.7 271.3, 832.0 1014.0)"
982331_mask,"LINESTRING (538.0 374.0, 516.0 385.0, 409.0 389.0, 366.0 403.0, 303.0 456.0, 283.0 487.0, 267.0 532.0, 133.0 658.0, 107.0 675.0, 5.0 701.0, 1.0 708.0)"
982331_mask,"LINESTRING (959.0 951.0, 922.0 969.2)"
982331_mask,"LINESTRING (959.0 951.0, 961.7 1011.7)"
982331_mask,"LINESTRING (922.0 969.2, 921.0 1005.0, 907.0 1018.0)"
982331_mask,"LINESTRING (961.7 1011.7, 956.0 1016.0)"
982331_mask,"LINESTRING (961.7 1011.7, 1019.0 1013.0)"
74552_mask,"LINESTRING (148.0 0.0, 133.0 8.0, 118.4 36.6)"
74552_mask,"LINESTRING (169.0 0.0, 182.0 8.0, 198.0 55.0)"
74552_mask,"LINESTRING (434.0 0.0, 427.0 6.0, 419.5 47.0)"
74552_mask,"LINESTRING (583.0 0.0, 605.3 5.3)"
74552_mask,"LINESTRING (293.0 1.0, 298.0 24.0)"
74552_mask,"LINESTRING (346.0 1.0, 351.0 35.0)"
74552_mask,"LINESTRING (899.0 1.0, 884.0 95.0, 865.7 151.7)"
74552_mask,"LINESTRING (524.0 2.0, 518.0 55.8)"
74552_mask,"LINESTRING (605.3 5.3, 630.0 5.0, 673.0 17.0, 800.0 134.0, 828.0 147.0, 862.0 152.0)"
74552_mask,"LINESTRING (605.3 5.3, 598.0 47.8)"
74552_mask,"LINESTRING (298.0 24.0, 198.0 55.0)"
74552_mask,"LINESTRING (298.0 24.0, 311.0 60.0, 308.0 107.0, 293.0 127.0, 276.0 180.0, 257.0 213.0, 230.0 247.0, 195.0 276.2)"
74552_mask,"LINESTRING (118.4 36.6, 7.0 74.0, 0.0 85.0)"
74552_mask,"LINESTRING (118.4 36.6, 185.0 62.0, 198.0 55.0)"
74552_mask,"LINESTRING (118.4 36.6, 115.0 66.0, 126.0 112.0, 195.0 276.2)"
74552_mask,"LINESTRING (419.5 47.0, 425.0 52.0, 498.0 57.2)"
74552_mask,"LINESTRING (419.5 47.0, 406.0 96.0, 411.0 136.0, 436.0 178.0, 479.0 225.2)"
74552_mask,"LINESTRING (598.0 47.8, 581.0 56.0, 540.0 56.2)"
74552_mask,"LINESTRING (598.0 47.8, 631.0 119.0, 675.0 292.0, 681.0 357.0, 674.7 384.7)"
74552_mask,"LINESTRING (198.0 55.0, 211.0 74.0)"
74552_mask,"LINESTRING (518.0 55.8, 498.0 57.2)"
74552_mask,"LINESTRING (518.0 55.8, 540.0 56.2)"
74552_mask,"LINESTRING (540.0 56.2, 573.0 134.0)"
74552_mask,"LINESTRING (498.0 57.2, 550.0 186.0, 540.0 198.0, 479.0 225.2)"
74552_mask,"LINESTRING (1020.0 144.0, 865.7 151.7)"
74552_mask,"LINESTRING (865.7 151.7, 862.0 152.0)"
74552_mask,"LINESTRING (862.0 152.0, 849.0 194.0, 849.0 217.0, 872.0 264.0, 873.0 298.0)"
74552_mask,"LINESTRING (307.0 205.0, 270.0 256.0, 210.7 321.3)"
74552_mask,"LINESTRING (479.0 225.2, 496.3 266.7)"
74552_mask,"LINESTRING (496.3 266.7, 468.0 315.0)"
74552_mask,"LINESTRING (496.3 266.7, 512.0 288.8)"
74552_mask,"LINESTRING (0.0 272.0, 9.0 304.0, 82.0 358.0, 90.8 387.6)"
74552_mask,"LINESTRING (195.0 276.2, 210.7 321.3)"
74552_mask,"LINESTRING (312.0 276.0, 302.8 304.0)"
74552_mask,"LINESTRING (512.0 288.8, 502.0 297.0, 449.0 402.0, 405.0 424.0, 390.8 412.0)"
74552_mask,"LINESTRING (512.0 288.8, 537.0 337.0, 554.0 404.0)"
74552_mask,"LINESTRING (302.8 304.0, 357.0 311.0, 387.0 285.0, 451.3 311.7)"
74552_mask,"LINESTRING (302.8 304.0, 284.0 341.0, 390.8 412.0)"
74552_mask,"LINESTRING (451.3 311.7, 390.8 412.0)"
74552_mask,"LINESTRING (451.3 311.7, 468.0 315.0)"
74552_mask,"LINESTRING (468.0 315.0, 455.7 349.7)"
74552_mask,"LINESTRING (210.7 321.3, 212.0 337.0)"
74552_mask,"LINESTRING (212.0 337.0, 90.8 387.6)"
74552_mask,"LINESTRING (212.0 337.0, 249.0 433.0, 293.0 495.0, 298.0 510.8)"
74552_mask,"LINESTRING (455.7 349.7, 452.0 351.0)"
74552_mask,"LINESTRING (455.7 349.7, 458.0 356.0)"
74552_mask,"LINESTRING (674.7 384.7, 656.0 398.0, 631.7 402.3)"
74552_mask,"LINESTRING (674.7 384.7, 698.0 398.0, 761.0 418.0, 780.0 442.0, 784.0 482.0, 779.0 503.0, 752.0 526.0, 712.3 539.3)"
74552_mask,"LINESTRING (631.7 402.3, 581.0 398.0, 554.0 404.0)"
74552_mask,"LINESTRING (631.7 402.3, 635.0 419.0, 684.0 483.0, 688.7 501.7)"
74552_mask,"LINESTRING (554.0 404.0, 552.7 407.7)"
74552_mask,"LINESTRING (552.7 407.7, 536.3 414.3)"
74552_mask,"LINESTRING (552.7 407.7, 601.3 480.7)"
74552_mask,"LINESTRING (536.3 414.3, 527.0 408.0, 504.0 417.0, 335.3 530.3)"
74552_mask,"LINESTRING (536.3 414.3, 530.7 433.7)"
74552_mask,"LINESTRING (530.7 433.7, 497.0 449.0, 363.8 545.0)"
74552_mask,"LINESTRING (530.7 433.7, 531.0 455.0, 470.0 587.0)"
74552_mask,"LINESTRING (601.3 480.7, 525.8 617.0)"
74552_mask,"LINESTRING (601.3 480.7, 627.0 505.0, 635.2 530.0)"
74552_mask,"LINESTRING (688.7 501.7, 635.2 530.0)"
74552_mask,"LINESTRING (688.7 501.7, 700.0 534.0, 712.3 539.3)"
74552_mask,"LINESTRING (298.0 510.8, 226.0 535.0, 175.8 562.0)"
74552_mask,"LINESTRING (298.0 510.8, 335.3 530.3)"
74552_mask,"LINESTRING (635.2 530.0, 625.0 572.0, 578.8 649.0)"
74552_mask,"LINESTRING (335.3 530.3, 299.0 580.0)"
74552_mask,"LINESTRING (712.3 539.3, 713.0 548.0, 739.0 575.0)"
74552_mask,"LINESTRING (363.8 545.0, 302.0 595.0)"
74552_mask,"LINESTRING (363.8 545.0, 430.0 611.0, 447.0 617.6)"
74552_mask,"LINESTRING (175.8 562.0, 132.0 583.0, 80.2 624.0)"
74552_mask,"LINESTRING (175.8 562.0, 231.0 662.2)"
74552_mask,"LINESTRING (296.0 585.0, 302.0 595.0)"
74552_mask,"LINESTRING (470.0 587.0, 447.0 617.6)"
74552_mask,"LINESTRING (470.0 587.0, 525.8 617.0)"
74552_mask,"LINESTRING (302.0 595.0, 231.0 662.2)"
74552_mask,"LINESTRING (525.8 617.0, 565.0 646.0, 578.8 649.0)"
74552_mask,"LINESTRING (447.0 617.6, 401.0 667.0, 393.0 715.0, 323.0 793.0, 291.0 775.0, 230.7 670.7)"
74552_mask,"LINESTRING (447.0 617.6, 517.0 676.0, 499.7 705.7)"
74552_mask,"LINESTRING (80.2 624.0, 86.0 648.0, 118.0 711.0)"
74552_mask,"LINESTRING (578.8 649.0, 601.0 670.0, 671.0 704.0, 755.0 770.0, 808.0 772.8)"
74552_mask,"LINESTRING (231.0 662.2, 230.7 670.7)"
